Chillwind Yeti|Chillwind Yeti|Darkscale Healer|Darkscale Healer|Drain Life|Drain Life|Hellfire|Hellfire|Kobold Geomancer|Kobold Geomancer|Murlock Raider|Murloc Raider|Ogre Magi|Ogre Magi|Reckless Rocketeer|Reckless Rocketeer|River Crocolisk|River Crocolisk|Shadow Bolt|Shadow Bolt|Succubus|Succubus|Voidwalker|Voidwalker|Voodoo Doctor|Voodoo Doctor|War Golem|War Golem|Wolfrider|Wolfrider|
Flame Imp|Flame Imp|Kobold Librarian|Kobold Librarian|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Demonfire|Demonfire|Vulgar Homunculus|Vulgar Homunculus|Bloodfury Potion|Bloodfury Potion|Darkshire Councilman|Darkshire Councilman|Crystalweaver|Crystalweaver|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Saronite Chain Gang|Saronite Chain Gang|Cairne Bloodhoof|Bonemare|Bonemare|
Mortal Coil|Mortal Coil|Defile|Defile|Drain Soul|Drain Soul|Shadow Bolt|Shadow Bolt|Hellfire|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Tar Lurker|Tar Lurker|Siphon Soul|Siphon Soul|Twisting Nether|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Doomsayer|Doomsayer|Tar Creeper|Tar Creeper|Dragonhatcher|Dragonhatcher|Master Oakheart|Deathwing|Deathwing, Dragonlord|
Kobold Librarian|Kobold Librarian|Lakkari Sacrifice|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Mortal Coil|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Cataclysm|Cataclysm|Hellfire|Hooked Reaver|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Bloodmage Thalnos|Tainted Zealot|Tar Creeper|Tar Creeper|Master Oakheart|
Dark Pact|Kobold Librarian|Mortal Coil|Voidwalker|Defile|Drain Soul|Vulgar Homunculus|Shadow Bolt|Hellfire|Hooked Reaver|Lesser Amethyst Spellstone|Despicable Dreadlord|Doomguard|Skull of the Man'ari|Dread Infernal|Rin, the First Disciple|Siphon Soul|Abyssal Enforcer|Twisting Nether|Krul the Unshackled|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Bloodmage Thalnos|Doomsayer|Earthen Ring Farseer|Gluttonous Ooze|Tar Creeper|Kazakus|The Darkness|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Bloodfury Potion|Bloodfury Potion|Darkshire Councilman|Darkshire Councilman|Crystalweaver|Crystalweaver|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Patches the Pirate|Prince Keleseth|Southsea Captain|Southsea Captain|Saronite Chain Gang|Bonemare|Bonemare|
Flame Imp|Flame Imp|Kobold Librarian|Kobold Librarian|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Demonfire|Demonfire|Vulgar Homunculus|Vulgar Homunculus|Bloodfury Potion|Bloodfury Potion|Crystalweaver|Crystalweaver|Hooked Reaver|Hooked Reaver|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Golakka Crawler|Golakka Crawler|Bonemare|Bonemare|
Flame Imp|Flame Imp|Kobold Librarian|Kobold Librarian|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Vulgar Homunculus|Vulgar Homunculus|Darkshire Councilman|Darkshire Councilman|Silverware Golem|Silverware Golem|Crystalweaver|Crystalweaver|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Argent Squire|Argent Squire|Fire Fly|Fire Fly|Dire Wolf Alpha|Dire Wolf Alpha|Boisterous Bard|Boisterous Bard|
Forbidden Ritual|Mortal Coil|Soulfire|Darkshire Librarian|Defile|Drain Soul|Hellfire|Feeding Time|Cruel Dinomancer|Bloodreaver Gul'dan|
Flame Imp|Flame Imp|Kobold Librarian|Kobold Librarian|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Demonfire|Demonfire|Vulgar Homunculus|Vulgar Homunculus|Bloodfury Potion|Bloodfury Potion|Crystalweaver|Crystalweaver|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Patches the Pirate|Southsea Captain|Southsea Captain|Bonemare|Bonemare|Corridor Creeper|Corridor Creeper|
Dark Pact|Kobold Librarian|Kobold Librarian|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Rin, the First Disciple|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Doomsayer|Doomsayer|Tar Creeper|Tar Creeper|Skulking Geist|Master Oakheart|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Skull of the Man'ari|Rin, the First Disciple|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Dirty Rat|Dirty Rat|Tainted Zealot|Master Oakheart|
Flame Imp|Flame Imp|Kobold Librarian|Kobold Librarian|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Demonfire|Vulgar Homunculus|Vulgar Homunculus|Darkshire Councilman|Darkshire Councilman|Crystalweaver|Crystalweaver|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Fire Fly|Fire Fly|Dire Wolf Alpha|Dire Wolf Alpha|Saronite Chain Gang|Saronite Chain Gang|Spellbreaker|Bonemare|Bonemare|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Voidwalker|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Tainted Zealot|Stonehill Defender|Stonehill Defender|Tar Creeper|Tar Creeper|Elise the Trailblazer|
Dark Pact|Dark Pact|Kobold Librarian|Kobold Librarian|Hellfire|Hellfire|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Possessed Lackey|Possessed Lackey|Skull of the Man'ari|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|DOOM!|Mistress of Mixtures|Mistress of Mixtures|Prince Keleseth|Tar Creeper|Tar Creeper|Harrison Jones|
Dark Pact|Kobold Librarian|Mortal Coil|Voidwalker|Defile|Drain Soul|Vulgar Homunculus|Shadow Bolt|Hellfire|Hooked Reaver|Lesser Amethyst Spellstone|Despicable Dreadlord|Doomguard|Dread Infernal|Rin, the First Disciple|Siphon Soul|Abyssal Enforcer|Twisting Nether|Krul the Unshackled|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Bloodmage Thalnos|Doomsayer|Coldlight Oracle|Gluttonous Ooze|Kabal Courier|Tar Creeper|Kazakus|The Darkness|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Skull of the Man'ari|Rin, the First Disciple|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Dirty Rat|Dirty Rat|Tainted Zealot|Master Oakheart|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Voidwalker|Defile|Drain Soul|Drain Soul|Vulgar Homunculus|Vulgar Homunculus|Shadow Bolt|Hellfire|Hellfire|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Tainted Zealot|Tar Creeper|Tar Creeper|Harrison Jones|Master Oakheart|
Dark Pact|Dark Pact|Kobold Librarian|Kobold Librarian|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Stonehill Defender|Stonehill Defender|Spellbreaker|Twilight Drake|Twilight Drake|Arcane Tyrant|Arcane Tyrant|The Lich King|Mountain Giant|Mountain Giant|
Flame Imp|Flame Imp|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Hellfire|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Grimscale Oracle|Grimscale Oracle|Murloc Tidecaller|Murloc Tidecaller|Prince Keleseth|Coldlight Seer|Coldlight Seer|Murloc Warleader|Murloc Warleader|Primalfin Lookout|Primalfin Lookout|Gentle Megasaur|Gentle Megasaur|Saronite Chain Gang|Finja, the Flying Star|Bonemare|Bonemare|
Sacrificial Pact|Sacrificial Pact|Dark Pact|Dark Pact|Kobold Librarian|Kobold Librarian|Lakkari Sacrifice|Malchezaar's Imp|Malchezaar's Imp|Darkbomb|Darkbomb|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Silverware Golem|Silverware Golem|Cataclysm|Cataclysm|Hellfire|Hellfire|Hooked Reaver|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Bloodreaver Gul'dan|Kazakus|Antique Healbot|Antique Healbot|Reno Jackson|
Kobold Librarian|Voidwalker|Bloodbloom|Dark Peddler|Defile|Drain Soul|Vulgar Homunculus|Darkshire Councilman|Imp Gang Boss|Shadow Bolt|Hellfire|Hooked Reaver|Lesser Amethyst Spellstone|Despicable Dreadlord|Kabal Trafficker|Rin, the First Disciple|Siphon Soul|Abyssal Enforcer|Cho'gall|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Stonehill Defender|Zola the Gorgon|Kazakus|Antique Healbot|Arcane Tyrant|Elise the Trailblazer|Reno Jackson|Medivh, the Guardian|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Drain Soul|Drain Soul|Vulgar Homunculus|Vulgar Homunculus|Hellfire|Hellfire|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Possessed Lackey|Skull of the Man'ari|Felfire Potion|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Dirty Rat|Tainted Zealot|Prince Taldaram|Barnes|Master Oakheart|
Mortal Coil|Mortal Coil|Voidwalker|Voidwalker|Defile|Defile|Gnomeferatu|Gnomeferatu|Shadow Bolt|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Dirty Rat|Golakka Crawler|Tainted Zealot|Earthen Ring Farseer|Kabal Courier|Stonehill Defender|Stonehill Defender|Spellbreaker|Bonemare|The Lich King|
Kobold Librarian|Power Overwhelming|Dark Peddler|Darkbomb|Defile|Vulgar Homunculus|Demonwrath|Hellfire|Lesser Amethyst Spellstone|Voidcaller|Despicable Dreadlord|Doomguard|Siphon Soul|Abyssal Enforcer|Twisting Nether|Krul the Unshackled|Mal'Ganis|Voidlord|Bloodreaver Gul'dan|Dirty Rat|Doomsayer|Brann Bronzebeard|Lone Champion|Tar Creeper|Kazakus|Twilight Drake|Faceless Manipulator|Leeroy Jenkins|Emperor Thaurissan|Reno Jackson|
Kobold Librarian|Kobold Librarian|Voidwalker|Voidwalker|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Hellfire|Hellfire|Hooked Reaver|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Twisting Nether|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Dirty Rat|Tainted Zealot|Tar Creeper|Tar Creeper|Skulking Geist|The Lich King|Master Oakheart|
Dark Pact|Dark Pact|Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Sense Demons|Spreading Madness|Blastcrystal Potion|Blastcrystal Potion|Pit Lord|Bane of Doom|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Possessed Lackey|Possessed Lackey|Skull of the Man'ari|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Prince Keleseth|Acolyte of Pain|Coldlight Oracle|The Darkness|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Defile|Vulgar Homunculus|Vulgar Homunculus|Hellfire|Hellfire|Hooked Reaver|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Rin, the First Disciple|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Acidic Swamp Ooze|Tar Creeper|Tar Creeper|Medivh, the Guardian|Master Oakheart|
Dark Pact|Kobold Librarian|Mortal Coil|Voidwalker|Defile|Demonfire|Shadow Bolt|Unwilling Sacrifice|Blastcrystal Potion|Hellfire|Hooked Reaver|Lesser Amethyst Spellstone|Shadowflame|Bane of Doom|Despicable Dreadlord|Dread Infernal|Siphon Soul|Abyssal Enforcer|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Acidic Swamp Ooze|Bloodmage Thalnos|Kabal Courier|Kazakus|Sneaky Devil|Spellbreaker|Bonemare|Alexstrasza|Mountain Giant|
Dark Pact|Dark Pact|Kobold Librarian|Kobold Librarian|Possessed Villager|Possessed Villager|Voidwalker|Voidwalker|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Crystalweaver|Crystalweaver|Hooked Reaver|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Skull of the Man'ari|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Voidlord|Voidlord|Bloodreaver Gul'dan|Zola the Gorgon|Master Oakheart|
Dark Pact|Kobold Librarian|Dark Peddler|Defile|Demonwrath|Blastcrystal Potion|Hellfire|Shadowflame|Voidcaller|Despicable Dreadlord|Possessed Lackey|Rin, the First Disciple|Siphon Soul|Abyssal Enforcer|Twisting Nether|Mal'Ganis|Voidlord|Bloodreaver Gul'dan|Acidic Swamp Ooze|Dirty Rat|Doomsayer|Nerubian Egg|Plated Beetle|Stonehill Defender|Tar Creeper|Kazakus|Sludge Belcher|Reno Jackson|N'Zoth, the Corruptor|Mountain Giant|
Kobold Librarian|Kobold Librarian|Vulgar Homunculus|Vulgar Homunculus|Shadow Bolt|Hellfire|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Plated Beetle|Plated Beetle|Gluttonous Ooze|Tar Creeper|Tar Creeper|The Darkness|Cairne Bloodhoof|N'Zoth, the Corruptor|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Defile|Defile|Drain Soul|Drain Soul|Shadow Bolt|Shadow Bolt|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Shadowflame|Shadowflame|Possessed Lackey|Possessed Lackey|Skull of the Man'ari|Kabal Trafficker|Kabal Trafficker|Rin, the First Disciple|Siphon Soul|Siphon Soul|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Zola the Gorgon|Carnivorous Cube|Carnivorous Cube|
Voidwalker|Darkbomb|Defile|Vulgar Homunculus|Blastcrystal Potion|Hellfire|Hooked Reaver|Shadowflame|Voidcaller|Despicable Dreadlord|Doomguard|Siphon Soul|Abyssal Enforcer|Twisting Nether|Krul the Unshackled|Mal'Ganis|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Doomsayer|Brann Bronzebeard|Deathlord|Kazakus|Twilight Drake|Antique Healbot|Sludge Belcher|Reno Jackson|Sylvanas Windrunner|Master Oakheart|N'Zoth, the Corruptor|
Kobold Librarian|Kobold Librarian|Voidwalker|Voidwalker|Vulgar Homunculus|Vulgar Homunculus|Hooked Reaver|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Twisting Nether|Twisting Nether|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Stonehill Defender|Stonehill Defender|Tar Creeper|Tar Creeper|Skulking Geist|Spiteful Summoner|Spiteful Summoner|Medivh, the Guardian|The Lich King|
Flame Imp|Flame Imp|Kobold Librarian|Kobold Librarian|Voidwalker|Voidwalker|Crystalweaver|Crystalweaver|Hooked Reaver|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Pit Lord|Despicable Dreadlord|Despicable Dreadlord|Skull of the Man'ari|Abyssal Enforcer|Abyssal Enforcer|Voidlord|Bloodreaver Gul'dan|Bloodsail Corsair|Bloodsail Corsair|Patches the Pirate|Prince Keleseth|Tar Creeper|Saronite Chain Gang|Saronite Chain Gang|Sneaky Devil|Sneaky Devil|Cobalt Scalebane|
Dark Pact|Kobold Librarian|Voidwalker|Defile|Defile|Gnomeferatu|Gnomeferatu|Vulgar Homunculus|Vulgar Homunculus|Hellfire|Hellfire|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Shadowflame|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Twisting Nether|Twisting Nether|Voidlord|Bloodreaver Gul'dan|Dirty Rat|Doomsayer|Doomsayer|Mindbreaker|Spellbreaker|Skulking Geist|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Skull of the Man'ari|Rin, the First Disciple|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Dirty Rat|Dirty Rat|Tainted Zealot|Master Oakheart|
Kobold Librarian|Kobold Librarian|Defile|Defile|Drain Soul|Drain Soul|Vulgar Homunculus|Vulgar Homunculus|Shadow Bolt|Shadow Bolt|Hellfire|Hellfire|Hooked Reaver|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Dread Infernal|Dread Infernal|Rin, the First Disciple|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Defile|Defile|Drain Soul|Drain Soul|Vulgar Homunculus|Vulgar Homunculus|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Skull of the Man'ari|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Voidlord|Voidlord|Bloodreaver Gul'dan|Tar Creeper|Tar Creeper|The Darkness|Twilight Drake|Twilight Drake|Master Oakheart|
Flame Imp|Flame Imp|Kobold Librarian|Kobold Librarian|Malchezaar's Imp|Malchezaar's Imp|Voidwalker|Voidwalker|Demonfire|Demonfire|Vulgar Homunculus|Vulgar Homunculus|Bloodfury Potion|Bloodfury Potion|Darkshire Councilman|Darkshire Councilman|Crystalweaver|Crystalweaver|Hooked Reaver|Hooked Reaver|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Patches the Pirate|Southsea Captain|Southsea Captain|Bonemare|Bonemare|
Kobold Librarian|Kobold Librarian|Defile|Defile|Drain Soul|Drain Soul|Vulgar Homunculus|Vulgar Homunculus|Hooked Reaver|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Bloodmage Thalnos|Tainted Zealot|Earthen Ring Farseer|Gluttonous Ooze|Happy Ghoul|Happy Ghoul|Arcane Tyrant|Elise the Trailblazer|The Lich King|
Dark Pact|Dark Pact|Kobold Librarian|Kobold Librarian|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Sense Demons|Hellfire|Lesser Amethyst Spellstone|Pit Lord|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Skull of the Man'ari|Tar Lurker|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Twilight Drake|Twilight Drake|Carnivorous Cube|Medivh, the Guardian|
Defile|Defile|Drain Soul|Shadow Bolt|Shadow Bolt|Hellfire|Hellfire|Doomguard|Doomguard|Possessed Lackey|Possessed Lackey|Skull of the Man'ari|Siphon Soul|Siphon Soul|Twisting Nether|Lord Jaraxxus|Voidlord|Voidlord|Bloodreaver Gul'dan|Bloodmage Thalnos|Doomsayer|Doomsayer|Tar Creeper|Tar Creeper|Barnes|Alexstrasza|Dragonhatcher|Master Oakheart|Ysera|Deathwing|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Rin, the First Disciple|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Tainted Zealot|Tar Creeper|Tar Creeper|The Darkness|Master Oakheart|
Gnomeferatu|Succubus|Despicable Dreadlord|Cruel Dinomancer|Dread Infernal|Siphon Soul|Bloodreaver Gul'dan|Runic Egg|Shifter Zerus|Stubborn Gastropod|
